Label,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,area_14,area_15,area_16,area_17,area_18,area_19,area_20,area_21,area_22,area_23,area_24,area_25,area_26,area_27,area_28,area_29,area_30,area_31,area_32,area_33,area_34,area_35,area_36,area_37,area_38,area_39,area_40,area_41,area_42,area_43,area_44,area_45,area_46,area_47,area_48,area_49,area_50,area_51,area_52,area_53,area_54,area_55,area_56,area_57,area_58,area_59,area_60,area_61,area_62,area_63,area_64,area_65,area_66,area_67,area_68,area_69,area_70,area_71,area_72,area_73,area_74,area_75,area_76,area_77,area_78,area_79,area_80,area_81,area_82,area_83,area_84,area_85,area_86,area_87,area_88,area_89,area_90,area_91,area_92,area_93,area_94,area_95,area_96,area_97,area_98,area_99,area_100,area_101,area_102,area_103,area_104,area_105,area_106,area_107,area_108,area_109,area_110,area_111
corona,68133.05101,1.015683293,0.573976249,-0.049958643,-1.20446275,91301.35217,16.03361658,2.219205987,0.498520976,1.033367758,-0.222934552,2.442140539,1.166645313,1.49E-05,-11.66465691,-0.000173889,0.063057812,0.196410361,3.89633001,266.7353782,16.03361658,0.686824121,0.045189727,-9.87E-06,-0.550297397,1.237121518,0.063058051,1.49E-05,41.97732179,0.000625771,0.061157344,0.075644838,3.250387289,250.9240151,16.03361658,0.570919951,0.043834071,0.000319584,-0.491308927,1.062228878,0.061160545,1.49E-05,16.10054049,0.000240016,0.054625175,0.013109638,2.077947123,200.1675107,16.03361658,0.502892721,0.039479692,0.000111124,-0.440163862,0.943056584,0.054625702,1.49E-05,36324.26548,2.053494572,1.152676052,-0.051469942,-1.195865471,98094.38554,14.11056487,4.002097833,1.000683729,2.091179743,-0.908467548,4.910565381,2.354888965,5.65E-05,-4.360808178,-0.000246527,0.104138069,-0.349044014,18.39878405,191.8336345,14.11056487,1.113127131,0.068976282,-0.000410905,-2.041338279,3.15446541,0.104138361,5.65E-05,8.314234515,0.000470023,0.095932985,-0.932684982,27.99520123,162.7982076,14.11056487,1.362048691,0.063261703,0.001037261,-1.637893333,2.999942024,0.095934136,5.65E-05,-0.902664918,-5.10E-05,0.070141202,0.19417106,5.322176144,87.0261795,14.11056487,0.803312085,0.050067752,9.40E-05,-0.684599404,1.487911489,0.07014122,5.65E-05
corona,68162.54517,1.016138121,0.587036001,0.004115224,-1.19043409,92379.08435,15.98099198,2.297082626,0.507317998,1.020944046,-0.367201827,2.664284452,1.173519471,4.39E-05,-2.179649899,-3.25E-05,0.014587327,0.567486074,322.2271377,14.27403038,15.98494481,0.568361131,0.007439635,1.05E-05,-0.486404705,1.054765836,0.014587363,3.81E-05,9.600910363,0.000143126,0.042665078,0.267226816,110.9794068,122.1076913,15.98200939,1.003689301,0.011953527,-1.59E-12,-0.762645381,1.766334681,0.042665318,4.39E-05,0.879967293,1.31E-05,0.009632701,0.109521276,161.4547239,6.224293424,15.98484411,0.312856971,0.005977288,1.28E-24,-0.406730404,0.719587375,0.00963271,3.81E-05,36411.18566,2.05840837,1.183842769,-0.021464203,-1.220885522,99739.93452,14.10321567,3.99171175,1.026405495,2.065701501,-0.377297022,4.369008772,2.374558637,5.81E-05,4.301772689,0.000243189,0.038341584,1.200818064,460.3663845,26.00523992,14.10253776,1.240038865,0.015275825,0.000130112,-1.573463419,2.813502284,0.038342356,5.88E-05,25.40041111,0.001435944,0.147831579,0.423007923,47.68226044,386.6149864,14.10140664,2.319534913,0.038685999,1.93E-06,-2.136851772,4.456386685,0.147838552,5.97E-05,-1.567277379,-8.86E-05,0.022940044,3.25086613,423.644945,9.308897909,14.10253776,0.911947304,0.0098072,2.55E-24,-0.727163101,1.639110405,0.022940215,5.88E-05
corona,67888.72456,1.012041033,0.582638286,-0.026266798,-1.231062399,91477.98577,16.03326611,2.054959507,0.507528027,1.012179949,-0.005135555,2.060095062,1.167773277,1.49E-05,-1.03551065,-1.54E-05,0.029687754,-0.147968682,5.703730498,59.12270937,16.03326611,0.363733803,0.020658989,6.47E-05,-0.33880396,0.702537763,0.029687758,1.49E-05,2.868586346,4.28E-05,0.030343225,0.017853306,7.483347879,61.76235613,16.03326611,0.393379708,0.021036808,3.87E-05,-0.379872548,0.773252257,0.030343255,1.49E-05,-1.317127451,-1.96E-05,0.026500891,0.009862968,2.970328579,47.11082755,16.03326611,0.21100448,0.018661424,-1.15E-05,-0.199138585,0.410143064,0.026500899,1.49E-05,35438.66685,2.003429637,1.179372056,-0.020416353,-1.249672724,95602.83185,14.11056487,4.089972941,1.029823476,2.002874949,-0.002354527,4.092327467,2.324790046,5.65E-05,2.037426431,0.00011518,0.055410178,-0.296586089,13.1162193,54.31055665,14.11056487,0.63203077,0.035376838,3.23E-05,-0.736832755,1.368863526,0.055410298,5.65E-05,-1.949850658,-0.00011023,0.05697313,-0.218389551,10.26551637,57.41760346,14.11056487,0.624406396,0.036872312,1.80E-06,-0.598633308,1.223039704,0.056973236,5.65E-05,3.674192847,0.000207711,0.036576585,0.147393574,8.378817109,23.66593162,14.11056487,0.400387188,0.024524526,4.43E-05,-0.393970742,0.79435793,0.036577175,5.65E-05
corona,67677.99217,1.008899572,0.583076266,-0.004468123,-1.207364858,91086.35695,16.02422791,2.031954365,0.505019655,1.006953667,-0.363614603,2.395568968,1.165270903,1.62E-05,3.954356018,5.89E-05,0.020309466,-0.349458058,260.0459622,27.66942886,16.02445761,0.64967203,0.012088511,1.23E-05,-0.891721851,1.54139388,0.020309552,1.61E-05,-8.846579379,-0.000131879,0.021518687,-6.963584602,526.0097216,31.06328373,16.02428754,0.73502485,0.011518821,-6.90E-14,-1.235972168,1.970997018,0.021519091,1.62E-05,3.636442612,5.42E-05,0.012890498,1.775964989,210.1325341,11.14670748,16.02448743,0.586225238,0.007494881,4.60E-06,-0.396923057,0.983148295,0.012890612,1.61E-05,35698.92197,2.01814246,1.173556666,-0.00204819,-1.207658315,96407.42449,14.10895204,4.00857389,1.01550331,2.003184553,-0.243646585,4.252220475,2.334552256,5.68E-05,2.124872217,0.000120124,0.048079402,0.099800194,64.81590171,40.89065926,14.10895204,0.839720652,0.028664407,4.73E-05,-1.075169758,1.91489041,0.048079552,5.68E-05,2.373992913,0.000134207,0.046064219,0.505646225,58.86064435,37.53482413,14.10895204,1.076985465,0.02734738,0.000185766,-0.880924242,1.957909707,0.046064414,5.68E-05,0.517727973,2.93E-05,0.027148953,0.572212054,84.4349812,13.03796966,14.10895204,0.690010898,0.016542926,1.20E-25,-0.669075662,1.35908656,0.027148969,5.68E-05
corona,67826.30046,1.011110455,0.577697442,-0.029868649,-1.224478227,90967.1144,16.02704169,2.136664772,0.502154896,1.018529635,-0.07782808,2.214492852,1.164507916,1.60E-05,-1.890193029,-2.82E-05,0.0472048,-0.002258843,3.190348009,149.4761883,16.02692866,0.482608877,0.03440507,-6.28E-15,-0.358621678,0.841230555,0.047204809,1.60E-05,19.99086552,0.000298011,0.044906368,-0.256449805,5.896054432,135.2802884,16.02684652,0.44840339,0.032069281,0.000347295,-0.505661311,0.954064701,0.044907357,1.60E-05,-9.051046743,-0.000134927,0.037106304,-0.04933478,2.031773277,92.36356201,16.02704169,0.217754246,0.027325469,-8.14E-06,-0.306488828,0.524243074,0.03710655,1.60E-05,35926.51748,2.031008959,1.161937507,-0.040185146,-1.239966076,96848.97601,14.11045181,4.269268516,1.012647189,2.046939764,-0.203929608,4.473198124,2.33989234,5.65E-05,-4.582455161,-0.000259057,0.103047422,-0.494098191,13.15685744,187.8366296,14.11045181,1.115687368,0.067154191,-9.02E-06,-1.27296929,2.388656658,0.103047747,5.65E-05,-3.582785361,-0.000202543,0.089873917,-0.744409011,16.46825917,142.8804561,14.11045181,1.011803077,0.057443504,-6.61E-05,-1.226791398,2.238594475,0.089874145,5.65E-05,-4.253540229,-0.000240462,0.054756397,-0.045327107,8.370643328,53.0372965,14.11045181,0.772818994,0.039255015,3.99E-05,-0.695743328,1.468562322,0.054756925,5.65E-05
corona,67788.98662,1.010554205,0.577044432,-0.014326053,-1.224763555,90841.09543,15.63797731,2.125019438,0.500766555,1.021679033,-0.006650929,2.131670367,1.163701026,0.001237597,-6.316996705,-9.42E-05,0.034537892,-0.094986359,3.853211609,80.01923947,15.63596067,0.469986487,0.023770112,-6.27E-14,-0.424043935,0.894030422,0.034538021,0.001254303,-14.1796739,-0.000211381,0.057732618,-0.782509766,58.97598035,223.5876686,15.63827358,0.693050956,0.027903174,-6.28E-14,-0.771835186,1.464886142,0.057733005,0.001237591,0.525074643,7.83E-06,0.03148701,0.057742197,2.402114415,66.50624023,15.63831465,0.18954412,0.021650241,5.02E-26,-0.25651824,0.44606236,0.031487011,0.00123759,35849.54115,2.02665731,1.162284543,-0.029671134,-1.234070498,96550.8995,13.88330455,4.29182754,1.008654362,2.056559603,0.020907599,4.270919941,2.336288768,0.000713853,0.397663829,2.25E-05,0.067378703,-0.313717806,8.82747824,80.30611622,13.88473408,0.530420354,0.04252209,-1.26E-13,-0.680942359,1.211362713,0.067378707,0.000708049,-27.11422454,-0.00153283,0.116088958,2.562709049,37.46592652,238.4299549,13.88299272,1.350045583,0.055107553,-1.25E-13,-0.826493518,2.176539101,0.116099077,0.000716735,-8.31592266,-0.000470118,0.041714379,-0.057534297,4.215539714,30.78435077,13.88473408,0.369132535,0.028208393,1.00E-25,-0.360469766,0.729602301,0.041717028,0.000708049
corona,66163.90744,0.989470411,0.588016208,0.01297787,-1.195654744,88587.71301,16.02285285,2.232936498,0.50913175,0.985872436,-0.283738964,2.516675461,1.151005975,1.52E-05,-0.257857836,-3.86E-06,0.013716178,-0.140708746,509.4134867,12.57992549,16.02299265,0.541808417,0.004293037,1.05E-05,-0.570600798,1.112409216,0.013716178,1.52E-05,-2.690222114,-4.02E-05,0.015219737,-0.148445492,374.6658094,15.4894378,16.0229844,0.557050112,0.004711379,6.31E-06,-0.524027872,1.081077984,0.01521979,1.52E-05,-0.536613867,-8.02E-06,0.005676048,6.841791492,1097.1953,2.154325398,16.02285285,0.381655485,0.002183176,-2.65E-06,-0.26217827,0.643833755,0.005676054,1.52E-05,34662.3633,1.96009745,1.193411425,0.039471544,-1.207354131,93127.7079,14.10981773,4.49240661,1.035930592,1.928760026,-0.372404827,4.864811437,2.294823052,5.66E-05,-5.528390447,-0.000312621,0.052592736,-3.504671168,395.8569126,48.91559943,14.10981773,1.891759142,0.014874772,-0.000154375,-1.75202069,3.643779832,0.052593665,5.66E-05,2.891636941,0.000163517,0.049271141,1.718520206,216.36817,42.93095296,14.10981773,1.100125939,0.016635655,-1.65E-05,-1.168954361,2.269080299,0.049271412,5.66E-05,-2.955524579,-0.00016713,0.021914906,-3.136652044,242.9585587,8.493466708,14.10981773,0.608411697,0.008170333,1.99E-05,-0.687126109,1.295537806,0.021915543,5.66E-05
corona,66845.71251,1.001959267,0.578573401,0.008320843,-1.197013439,89309.33923,16.02430267,2.210023216,0.500493421,1.000271051,-0.215282504,2.42530572,1.157008882,1.50E-05,1.480218212,2.22E-05,0.011740763,2.936397772,524.2933968,9.196396886,16.02434396,0.565774035,0.004152667,8.97E-06,-0.650043791,1.215817826,0.011740784,1.50E-05,-2.035630638,-3.05E-05,0.020752677,-1.747713049,340.3638806,28.73245087,16.02434396,0.733111235,0.005839266,1.89E-05,-0.560474056,1.293585291,0.020752699,1.50E-05,-0.731810214,-1.10E-05,0.005557582,0.763989211,611.2191037,2.060615697,16.02430267,0.30220884,0.002369445,1.85E-06,-0.290510126,0.592718967,0.005557593,1.50E-05,35019.57176,1.985799363,1.162555805,0.036018267,-1.198122039,93376.18062,14.10588433,4.239656327,1.005556011,1.96554146,-0.242033011,4.481689338,2.301072599,5.67E-05,2.798323355,0.00015868,0.041258581,-1.579429479,371.0140006,30.01998434,14.10588433,1.308195923,0.014117312,5.99E-05,-1.523523474,2.831719397,0.041258886,5.67E-05,7.032124874,0.00039876,0.045149835,1.131845931,157.319658,35.95188587,14.10588433,0.997287132,0.017043976,0.000121676,-1.199364641,2.196651773,0.045151596,5.67E-05,2.201250292,0.000124823,0.020788934,2.622552156,172.5279251,7.621765153,14.10577092,0.503675214,0.008022575,1.09E-05,-0.491935268,0.995610482,0.020789309,5.67E-05
corona,67277.28614,1.002926106,0.552606656,0.009057049,-1.163557543,87958.94769,16.03361658,2.231751279,0.477008093,1.007166867,-0.064347195,2.296098474,1.145091652,1.49E-05,-13.58748382,-0.000202553,0.093344386,-0.252475563,13.25852512,584.4911979,16.03361658,0.735919388,0.061319901,-0.000115599,-0.770968257,1.506887645,0.093344605,1.49E-05,-50.61693028,-0.000754564,0.119126019,-0.13851263,2.408830269,951.9852275,16.03361658,1.134673397,0.087104186,-0.000208866,-0.833019676,1.967693074,0.119128409,1.49E-05,-5.197515048,-7.75E-05,0.084752002,0.009547597,1.436848885,481.8366356,16.03361658,0.508719632,0.063204971,0.00029639,-0.520464869,1.0291845,0.084752037,1.49E-05,35043.21045,1.981073574,1.081289642,0.058723254,-1.140223486,90104.93213,14.11056487,4.228826549,0.931071831,1.956290144,-0.114319302,4.343145851,2.256953654,5.65E-05,-0.024476236,-1.38E-06,0.1690472,1.638452025,16.82508079,505.4977746,14.11056487,1.398572305,0.099828774,-0.000872765,-1.155979618,2.554551923,0.1690472,5.65E-05,19.78621374,0.00111856,0.138533061,-0.231951657,4.924199921,339.4989657,14.11056487,1.010718308,0.097735121,0.001141353,-1.620742802,2.63146111,0.138537577,5.65E-05,-9.391577994,-0.000530928,0.10996027,0.030545582,2.402477769,213.8873027,14.11056487,0.744712758,0.079858636,5.33E-05,-0.819486531,1.564199289,0.109961552,5.65E-05
corona,68810.93223,1.026109935,0.585915454,-0.018023836,-1.182967934,93629.07254,15.94234202,2.1137097,0.507050666,1.029223485,-0.258064689,2.371774389,1.181608445,3.44E-05,-22.73776264,-0.000339066,0.051775917,-0.143436331,108.9084452,179.7785092,15.94322438,0.65950662,0.010241828,-1.38E-12,-0.659151289,1.318657909,0.051777027,3.44E-05,18.33747386,0.000273449,0.050579218,-0.123541064,64.09581913,171.5617461,15.9429931,0.512934899,0.012225399,-1.47E-12,-0.507377569,1.020312467,0.050579957,3.44E-05,-0.793542324,-1.18E-05,0.004319702,-0.234284163,217.1144777,1.25133731,15.94230171,0.153327407,0.002640636,1.17E-24,-0.15424431,0.307571718,0.004319718,3.44E-05,37353.42782,2.111675494,1.185476643,-0.047703479,-1.184305886,103737.6405,14.11056487,4.387159578,1.025590588,2.127611248,-0.550079353,4.937238931,2.421678811,5.65E-05,6.554782947,0.000370557,0.119551149,2.559504424,39.10084179,252.8220584,14.11056487,1.108521207,0.035801082,-0.00015712,-0.998809912,2.107331119,0.119551723,5.65E-05,31.2344607,0.001765756,0.176524651,-1.056865875,24.34725243,551.2612417,14.11056487,1.187872618,0.055770537,0.000126057,-1.312490132,2.50036275,0.176533482,5.65E-05,0.142531132,8.06E-06,0.013532512,0.34482728,133.9923923,3.239368024,14.11056487,0.318065864,0.006657805,-2.83E-06,-0.317150293,0.635216157,0.013532515,5.65E-05
